"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed"
"2526","<p> You will see the letters F or J.</p>
       <p> Respond as fast and acccurately as possible.</p>
       <p> Press any key to begin.</p>"," ","html-keyboard-response","0","2.0.0","2532"
"935","<p>F</p>","f","html-keyboard-response","1","2.0.0","3469"
"null","","null","html-keyboard-response","2","2.0.0","3675"
"345","<p>J</p>","j","html-keyboard-response","3","2.0.0","4022"
"null","","null","html-keyboard-response","4","2.0.0","4242"
"445","<p>J</p>","j","html-keyboard-response","5","2.0.0","4688"
"null","","null","html-keyboard-response","6","2.0.0","4914"
"353","<p>J</p>","j","html-keyboard-response","7","2.0.0","5269"
"null","","null","html-keyboard-response","8","2.0.0","5476"
"341","<p>J</p>","j","html-keyboard-response","9","2.0.0","5818"
"null","","null","html-keyboard-response","10","2.0.0","6025"
"423","<p>F</p>","f","html-keyboard-response","11","2.0.0","6450"
"null","","null","html-keyboard-response","12","2.0.0","6658"
"439","<p>F</p>","f","html-keyboard-response","13","2.0.0","7098"
"null","","null","html-keyboard-response","14","2.0.0","7308"
"378","<p>F</p>","f","html-keyboard-response","15","2.0.0","7687"
"null","","null","html-keyboard-response","16","2.0.0","7895"
"427","<p>J</p>","j","html-keyboard-response","17","2.0.0","8324"
"null","","null","html-keyboard-response","18","2.0.0","8543"
"359","<p>F</p>","f","html-keyboard-response","19","2.0.0","8902"
"null","","null","html-keyboard-response","20","2.0.0","9107"
"416","<p>F</p>","f","html-keyboard-response","21","2.0.0","9524"
"null","","null","html-keyboard-response","22","2.0.0","9733"
"350","<p>F</p>","f","html-keyboard-response","23","2.0.0","10084"
"null","","null","html-keyboard-response","24","2.0.0","10300"
"460","<p>J</p>","j","html-keyboard-response","25","2.0.0","10761"
"null","","null","html-keyboard-response","26","2.0.0","10964"
"427","<p>J</p>","j","html-keyboard-response","27","2.0.0","11392"
"null","","null","html-keyboard-response","28","2.0.0","11608"
"407","<p>J</p>","j","html-keyboard-response","29","2.0.0","12016"
"null","","null","html-keyboard-response","30","2.0.0","12218"
"425","<p>F</p>","f","html-keyboard-response","31","2.0.0","12644"
"null","","null","html-keyboard-response","32","2.0.0","12854"
"421","<p>J</p>","j","html-keyboard-response","33","2.0.0","13276"
"null","","null","html-keyboard-response","34","2.0.0","13494"
"391","<p>F</p>","f","html-keyboard-response","35","2.0.0","13886"
"null","","null","html-keyboard-response","36","2.0.0","14088"
"438","<p>F</p>","f","html-keyboard-response","37","2.0.0","14527"
"null","","null","html-keyboard-response","38","2.0.0","14733"
"539","<p>J</p>","j","html-keyboard-response","39","2.0.0","15273"
"null","","null","html-keyboard-response","40","2.0.0","15485"
"368","<p>F</p>","f","html-keyboard-response","41","2.0.0","15853"
"null","","null","html-keyboard-response","42","2.0.0","16070"
"401","<p>F</p>","f","html-keyboard-response","43","2.0.0","16472"
"null","","null","html-keyboard-response","44","2.0.0","16690"
"476","<p>J</p>","j","html-keyboard-response","45","2.0.0","17167"
"null","","null","html-keyboard-response","46","2.0.0","17375"
"410","<p>J</p>","j","html-keyboard-response","47","2.0.0","17786"
"null","","null","html-keyboard-response","48","2.0.0","18001"
"419","<p>J</p>","j","html-keyboard-response","49","2.0.0","18422"
"null","","null","html-keyboard-response","50","2.0.0","18628"
"484","<p>F</p>","f","html-keyboard-response","51","2.0.0","19113"
"null","","null","html-keyboard-response","52","2.0.0","19317"
"467","<p>F</p>","f","html-keyboard-response","53","2.0.0","19785"
"null","","null","html-keyboard-response","54","2.0.0","19992"
"444","<p>F</p>","f","html-keyboard-response","55","2.0.0","20437"
"null","","null","html-keyboard-response","56","2.0.0","20653"
"468","<p>J</p>","j","html-keyboard-response","57","2.0.0","21121"
"null","","null","html-keyboard-response","58","2.0.0","21332"
"411","<p>J</p>","j","html-keyboard-response","59","2.0.0","21745"
"null","","null","html-keyboard-response","60","2.0.0","21950"
"503","<p>F</p>","f","html-keyboard-response","61","2.0.0","22455"
"null","","null","html-keyboard-response","62","2.0.0","22657"
"432","<p>J</p>","j","html-keyboard-response","63","2.0.0","23090"
"null","","null","html-keyboard-response","64","2.0.0","23291"
"424","<p>F</p>","f","html-keyboard-response","65","2.0.0","23716"
"null","","null","html-keyboard-response","66","2.0.0","23923"
"410","<p>F</p>","f","html-keyboard-response","67","2.0.0","24335"
"null","","null","html-keyboard-response","68","2.0.0","24550"
"449","<p>J</p>","j","html-keyboard-response","69","2.0.0","25000"
"null","","null","html-keyboard-response","70","2.0.0","25206"
"428","<p>F</p>","f","html-keyboard-response","71","2.0.0","25636"
"null","","null","html-keyboard-response","72","2.0.0","25842"
"454","<p>F</p>","f","html-keyboard-response","73","2.0.0","26297"
"null","","null","html-keyboard-response","74","2.0.0","26508"
"571","<p>J</p>","j","html-keyboard-response","75","2.0.0","27079"
"null","","null","html-keyboard-response","76","2.0.0","27291"
"414","<p>J</p>","j","html-keyboard-response","77","2.0.0","27706"
"null","","null","html-keyboard-response","78","2.0.0","27908"
"439","<p>J</p>","j","html-keyboard-response","79","2.0.0","28348"
"null","","null","html-keyboard-response","80","2.0.0","28566"
