"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed"
"4029","<p> You will see the letters F or J.</p>
       <p> Respond as fast and acccurately as possible.</p>
       <p> Press any key to begin.</p>"," ","html-keyboard-response","0","2.0.0","4032"
"858","<p>F</p>","f","html-keyboard-response","1","2.0.0","4892"
"389","<p>J</p>","j","html-keyboard-response","2","2.0.0","5283"
"302","<p>F</p>","f","html-keyboard-response","3","2.0.0","5586"
"1198","<p>F</p>","f","html-keyboard-response","4","2.0.0","6786"
"1017","<p>J</p>","j","html-keyboard-response","5","2.0.0","7804"
"345","<p>F</p>","f","html-keyboard-response","6","2.0.0","8151"
"694","<p>F</p>","f","html-keyboard-response","7","2.0.0","8846"
"778","<p>F</p>","f","html-keyboard-response","8","2.0.0","9626"
"600","<p>J</p>","j","html-keyboard-response","9","2.0.0","10227"
"463","<p>F</p>","f","html-keyboard-response","10","2.0.0","10692"
"427","<p>J</p>","j","html-keyboard-response","11","2.0.0","11120"
"724","<p>J</p>","j","html-keyboard-response","12","2.0.0","11846"
"538","<p>F</p>","f","html-keyboard-response","13","2.0.0","12386"
"753","<p>F</p>","f","html-keyboard-response","14","2.0.0","13140"
"591","<p>J</p>","j","html-keyboard-response","15","2.0.0","13733"
"760","<p>J</p>","j","html-keyboard-response","16","2.0.0","14494"
"693","<p>F</p>","f","html-keyboard-response","17","2.0.0","15189"
"637","<p>F</p>","f","html-keyboard-response","18","2.0.0","15828"
"788","<p>F</p>","f","html-keyboard-response","19","2.0.0","16617"
"703","<p>F</p>","f","html-keyboard-response","20","2.0.0","17321"
"796","<p>J</p>","j","html-keyboard-response","21","2.0.0","18118"
"628","<p>F</p>","f","html-keyboard-response","22","2.0.0","18748"
"639","<p>J</p>","j","html-keyboard-response","23","2.0.0","19387"
"544","<p>F</p>","f","html-keyboard-response","24","2.0.0","19933"
"505","<p>J</p>","j","html-keyboard-response","25","2.0.0","20439"
"542","<p>F</p>","f","html-keyboard-response","26","2.0.0","20983"
"536","<p>J</p>","j","html-keyboard-response","27","2.0.0","21511"
"436","<p>F</p>","f","html-keyboard-response","28","2.0.0","21949"
"455","<p>J</p>","j","html-keyboard-response","29","2.0.0","22404"
"445","<p>F</p>","f","html-keyboard-response","30","2.0.0","22850"
"474","<p>J</p>","j","html-keyboard-response","31","2.0.0","23326"
"772","<p>J</p>","j","html-keyboard-response","32","2.0.0","24099"
"608","<p>J</p>","j","html-keyboard-response","33","2.0.0","24708"
"594","<p>F</p>","f","html-keyboard-response","34","2.0.0","25304"
"484","<p>J</p>","j","html-keyboard-response","35","2.0.0","25788"
"686","<p>J</p>","j","html-keyboard-response","36","2.0.0","26476"
"700","<p>J</p>","j","html-keyboard-response","37","2.0.0","27177"
"538","<p>F</p>","f","html-keyboard-response","38","2.0.0","27716"
"445","<p>J</p>","j","html-keyboard-response","39","2.0.0","28163"
"655","<p>J</p>","j","html-keyboard-response","40","2.0.0","28818"
