"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","targetKey","lowerCase"
"1352","
        <p>Hello!</p>
        <p>You will be taking part in a toy experiment.
          You will see one of two letters displayed on the screen (F or J).</p>
        <p> Your role will be to press the key corresponding to the letter.
          <b>Please answer as fast as you can!</b></p>
        <p>Press any key to continue.</p>
        "," ","html-keyboard-response","0","2.0.0","1355","",""
"null","+","null","html-keyboard-response","1","2.0.0","1614","",""
"901","F","f","html-keyboard-response","2","2.0.0","2517","F","false"
"null","+","null","html-keyboard-response","3","2.0.0","2844","",""
"720","J","j","html-keyboard-response","4","2.0.0","3565","J","false"
"null","+","null","html-keyboard-response","5","2.0.0","3880","",""
"597","j","j","html-keyboard-response","6","2.0.0","4478","J","true"
"null","+","null","html-keyboard-response","7","2.0.0","4796","",""
"489","j","j","html-keyboard-response","8","2.0.0","5287","J","true"
"null","+","null","html-keyboard-response","9","2.0.0","5613","",""
"539","f","f","html-keyboard-response","10","2.0.0","6153","F","true"
"null","+","null","html-keyboard-response","11","2.0.0","6480","",""
"686","F","f","html-keyboard-response","12","2.0.0","7167","F","false"
"null","+","null","html-keyboard-response","13","2.0.0","7495","",""
"552","J","j","html-keyboard-response","14","2.0.0","8049","J","false"
"null","+","null","html-keyboard-response","15","2.0.0","8364","",""
"543","F","f","html-keyboard-response","16","2.0.0","8908","F","false"
"null","+","null","html-keyboard-response","17","2.0.0","9228","",""
"561","f","f","html-keyboard-response","18","2.0.0","9789","F","true"
"null","+","null","html-keyboard-response","19","2.0.0","10113","",""
"412","J","j","html-keyboard-response","20","2.0.0","10526","J","false"
"null","+","null","html-keyboard-response","21","2.0.0","10847","",""
"555","f","f","html-keyboard-response","22","2.0.0","11404","F","true"
"null","+","null","html-keyboard-response","23","2.0.0","11729","",""
"465","F","f","html-keyboard-response","24","2.0.0","12195","F","false"
"null","+","null","html-keyboard-response","25","2.0.0","12514","",""
"407","F","f","html-keyboard-response","26","2.0.0","12923","F","false"
"null","+","null","html-keyboard-response","27","2.0.0","13248","",""
"455","j","j","html-keyboard-response","28","2.0.0","13704","J","true"
"null","+","null","html-keyboard-response","29","2.0.0","14029","",""
"424","j","j","html-keyboard-response","30","2.0.0","14454","J","true"
"null","+","null","html-keyboard-response","31","2.0.0","14781","",""
"382","f","j","html-keyboard-response","32","2.0.0","15164","F","true"
"null","+","null","html-keyboard-response","33","2.0.0","15480","",""
"570","f","f","html-keyboard-response","34","2.0.0","16051","F","true"
"null","+","null","html-keyboard-response","35","2.0.0","16379","",""
"424","f","f","html-keyboard-response","36","2.0.0","16803","F","true"
"null","+","null","html-keyboard-response","37","2.0.0","17131","",""
"615","j","j","html-keyboard-response","38","2.0.0","17747","J","true"
"null","+","null","html-keyboard-response","39","2.0.0","18062","",""
"447","F","f","html-keyboard-response","40","2.0.0","18510","F","false"
"null","+","null","html-keyboard-response","41","2.0.0","18830","",""
"477","J","j","html-keyboard-response","42","2.0.0","19309","J","false"
"null","+","null","html-keyboard-response","43","2.0.0","19630","",""
"519","J","j","html-keyboard-response","44","2.0.0","20150","J","false"
"null","+","null","html-keyboard-response","45","2.0.0","20480","",""
"473","j","j","html-keyboard-response","46","2.0.0","20953","J","true"
"null","+","null","html-keyboard-response","47","2.0.0","21278","",""
"472","F","f","html-keyboard-response","48","2.0.0","21752","F","false"
"null","+","null","html-keyboard-response","49","2.0.0","22081","",""
"575","f","f","html-keyboard-response","50","2.0.0","22657","F","true"
"null","+","null","html-keyboard-response","51","2.0.0","22979","",""
"569","J","j","html-keyboard-response","52","2.0.0","23549","J","false"
"null","+","null","html-keyboard-response","53","2.0.0","23860","",""
"451","J","j","html-keyboard-response","54","2.0.0","24312","J","false"
"null","+","null","html-keyboard-response","55","2.0.0","24627","",""
"395","J","j","html-keyboard-response","56","2.0.0","25023","J","false"
"null","+","null","html-keyboard-response","57","2.0.0","25463","",""
"420","j","j","html-keyboard-response","58","2.0.0","25884","J","true"
"null","+","null","html-keyboard-response","59","2.0.0","26197","",""
"511","f","f","html-keyboard-response","60","2.0.0","26709","F","true"
"null","+","null","html-keyboard-response","61","2.0.0","27027","",""
"573","j","j","html-keyboard-response","62","2.0.0","27602","J","true"
"null","+","null","html-keyboard-response","63","2.0.0","27916","",""
"652","J","j","html-keyboard-response","64","2.0.0","28570","J","false"
"null","+","null","html-keyboard-response","65","2.0.0","28896","",""
"361","j","j","html-keyboard-response","66","2.0.0","29258","J","true"
"null","+","null","html-keyboard-response","67","2.0.0","29579","",""
"374","j","j","html-keyboard-response","68","2.0.0","29954","J","true"
"null","+","null","html-keyboard-response","69","2.0.0","30279","",""
"430","F","f","html-keyboard-response","70","2.0.0","30711","F","false"
"null","+","null","html-keyboard-response","71","2.0.0","31029","",""
"351","F","f","html-keyboard-response","72","2.0.0","31381","F","false"
"null","+","null","html-keyboard-response","73","2.0.0","31698","",""
"366","f","f","html-keyboard-response","74","2.0.0","32065","F","true"
"null","+","null","html-keyboard-response","75","2.0.0","32379","",""
"373","f","f","html-keyboard-response","76","2.0.0","32753","F","true"
"null","+","null","html-keyboard-response","77","2.0.0","33078","",""
"395","F","f","html-keyboard-response","78","2.0.0","33474","F","false"
"null","+","null","html-keyboard-response","79","2.0.0","33795","",""
"482","J","j","html-keyboard-response","80","2.0.0","34278","J","false"
