"rt","stimulus","response","trial_type","trial_index","plugin_version","time_elapsed","expected_correct_response","lowerCase"
"1090","
        <p>Hello!</p>
        <p>You will be taking part in a toy experiment.
          You will see one of two letters displayed on the screen (F or J).</p>
        <p> Your role will be to press the key corresponding to the letter.
          <b>Please answer as fast as you can!</b></p>
        <p>Press any key to continue.</p>
        "," ","html-keyboard-response","0","2.0.0","1094","",""
"null","+","null","html-keyboard-response","1","2.0.0","1362","",""
"886","j","j","html-keyboard-response","2","2.0.0","2250","J","true"
"null","+","null","html-keyboard-response","3","2.0.0","2569","",""
"1021","f","f","html-keyboard-response","4","2.0.0","3592","F","true"
"null","+","null","html-keyboard-response","5","2.0.0","3918","",""
"556","F","f","html-keyboard-response","6","2.0.0","4475","F","false"
"null","+","null","html-keyboard-response","7","2.0.0","4795","",""
"414","J","j","html-keyboard-response","8","2.0.0","5212","J","false"
"null","+","null","html-keyboard-response","9","2.0.0","5532","",""
"447","j","j","html-keyboard-response","10","2.0.0","5980","J","true"
"null","+","null","html-keyboard-response","11","2.0.0","6299","",""
"442","F","f","html-keyboard-response","12","2.0.0","6742","F","false"
"null","+","null","html-keyboard-response","13","2.0.0","7064","",""
"435","J","j","html-keyboard-response","14","2.0.0","7500","J","false"
"null","+","null","html-keyboard-response","15","2.0.0","7819","",""
"379","f","f","html-keyboard-response","16","2.0.0","8199","F","true"
"null","+","null","html-keyboard-response","17","2.0.0","8525","",""
"469","f","f","html-keyboard-response","18","2.0.0","8997","F","true"
"null","+","null","html-keyboard-response","19","2.0.0","9315","",""
"361","F","f","html-keyboard-response","20","2.0.0","9676","F","false"
"null","+","null","html-keyboard-response","21","2.0.0","10001","",""
"497","j","j","html-keyboard-response","22","2.0.0","10499","J","true"
"null","+","null","html-keyboard-response","23","2.0.0","10814","",""
"392","J","j","html-keyboard-response","24","2.0.0","11207","J","false"
"null","+","null","html-keyboard-response","25","2.0.0","11527","",""
"401","j","j","html-keyboard-response","26","2.0.0","11930","J","true"
"null","+","null","html-keyboard-response","27","2.0.0","12248","",""
"402","F","f","html-keyboard-response","28","2.0.0","12651","F","false"
"null","+","null","html-keyboard-response","29","2.0.0","12975","",""
"415","J","j","html-keyboard-response","30","2.0.0","13391","J","false"
"null","+","null","html-keyboard-response","31","2.0.0","13708","",""
"335","f","f","html-keyboard-response","32","2.0.0","14044","F","true"
"null","+","null","html-keyboard-response","33","2.0.0","14357","",""
"404","f","f","html-keyboard-response","34","2.0.0","14763","F","true"
"null","+","null","html-keyboard-response","35","2.0.0","15084","",""
"448","J","j","html-keyboard-response","36","2.0.0","15534","J","false"
"null","+","null","html-keyboard-response","37","2.0.0","15852","",""
"385","j","j","html-keyboard-response","38","2.0.0","16238","J","true"
"null","+","null","html-keyboard-response","39","2.0.0","16564","",""
"446","F","f","html-keyboard-response","40","2.0.0","17011","F","false"
"null","+","null","html-keyboard-response","41","2.0.0","17318","",""
"448","f","f","html-keyboard-response","42","2.0.0","17768","F","true"
"null","+","null","html-keyboard-response","43","2.0.0","18084","",""
"455","J","j","html-keyboard-response","44","2.0.0","18542","J","false"
"null","+","null","html-keyboard-response","45","2.0.0","18868","",""
"349","F","f","html-keyboard-response","46","2.0.0","19220","F","false"
"null","+","null","html-keyboard-response","47","2.0.0","19532","",""
"405","j","j","html-keyboard-response","48","2.0.0","19939","J","true"
"null","+","null","html-keyboard-response","49","2.0.0","20266","",""
"382","f","f","html-keyboard-response","50","2.0.0","20651","F","true"
"null","+","null","html-keyboard-response","51","2.0.0","20967","",""
"473","F","f","html-keyboard-response","52","2.0.0","21444","F","false"
"null","+","null","html-keyboard-response","53","2.0.0","21750","",""
"401","j","j","html-keyboard-response","54","2.0.0","22154","J","true"
"null","+","null","html-keyboard-response","55","2.0.0","22462","",""
"431","J","f","html-keyboard-response","56","2.0.0","22897","J","false"
"null","+","null","html-keyboard-response","57","2.0.0","23212","",""
"513","J","j","html-keyboard-response","58","2.0.0","23728","J","false"
"null","+","null","html-keyboard-response","59","2.0.0","24048","",""
"679","f","f","html-keyboard-response","60","2.0.0","24728","F","true"
"null","+","null","html-keyboard-response","61","2.0.0","25036","",""
"434","j","j","html-keyboard-response","62","2.0.0","25471","J","true"
"null","+","null","html-keyboard-response","63","2.0.0","25794","",""
"338","F","f","html-keyboard-response","64","2.0.0","26133","F","false"
"null","+","null","html-keyboard-response","65","2.0.0","26451","",""
"378","F","f","html-keyboard-response","66","2.0.0","26830","F","false"
"null","+","null","html-keyboard-response","67","2.0.0","27136","",""
"376","f","f","html-keyboard-response","68","2.0.0","27513","F","true"
"null","+","null","html-keyboard-response","69","2.0.0","27820","",""
"591","J","j","html-keyboard-response","70","2.0.0","28411","J","false"
"null","+","null","html-keyboard-response","71","2.0.0","28733","",""
"504","j","j","html-keyboard-response","72","2.0.0","29240","J","true"
"null","+","null","html-keyboard-response","73","2.0.0","29561","",""
"422","F","f","html-keyboard-response","74","2.0.0","29985","F","false"
"null","+","null","html-keyboard-response","75","2.0.0","30302","",""
"674","f","f","html-keyboard-response","76","2.0.0","30978","F","true"
"null","+","null","html-keyboard-response","77","2.0.0","31302","",""
"501","j","j","html-keyboard-response","78","2.0.0","31804","J","true"
"null","+","null","html-keyboard-response","79","2.0.0","32134","",""
"518","J","j","html-keyboard-response","80","2.0.0","32653","J","false"
